date,temperature

23-09-24-15-52-43,20
23-09-24-15-52-45,19
23-09-24-15-52-47,18
23-09-24-15-52-50,18
23-09-24-15-52-52,18
23-09-24-15-52-55,18
23-09-24-15-52-57,19
23-09-24-15-52-59,18
23-09-24-15-53-02,19
23-09-24-15-53-04,18
23-09-24-15-53-07,18
23-09-24-15-53-09,18
23-09-24-15-53-11,19
23-09-24-15-53-14,18
23-09-24-15-53-16,20
23-09-24-15-53-18,18
23-09-24-15-53-21,18
23-09-24-15-53-23,20
23-09-24-15-53-25,18
23-09-24-15-53-28,18
23-09-24-15-53-30,20
23-09-24-15-53-32,19
23-09-24-15-53-35,18
23-09-24-15-53-37,18
23-09-24-15-53-40,18
23-09-24-15-53-42,18
23-09-24-15-53-44,18
23-09-24-15-53-47,19
23-09-24-15-53-49,18
23-09-24-15-53-52,18
